,Algorithm,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,hc,bde,510.0,18.0,8.0,0.6309495192307691,0.8245762711864407,0.608695652173913,0.9296875,-222385.33809621143,-300623.1682327192
1,hc,bic,510.0,14.0,20.0,0.6799005681818181,0.8330508474576271,0.6666666666666666,0.9453125,-225419.59564715554,-232470.52701512066
2,tabu,bde,773.0,18.0,8.0,0.6309495192307691,0.8245762711864407,0.608695652173913,0.9296875,-222385.33809621143,-300623.1682327192
3,tabu,bic,779.0,14.0,20.0,0.6799005681818181,0.8330508474576271,0.6666666666666666,0.9453125,-225419.59564715554,-232470.52701512066
