"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X.tabu.","X201","X.bic."
"X.1.1.",0,0,0,0,1,0,1,0,"tabu",201,"bic"
"X.1.2.",0,0,0,0,0,1,0,1,"tabu",201,"bic"
"X.2.1.",0,0,0,0,0,0,1,0,"tabu",201,"bic"
"X.2.2.",0,0,0,0,0,0,0,1,"tabu",201,"bic"
"X..1.1..",0,0,0,0,0,0,0,0,"tabu",201,"bic"
"X..1.2..",0,0,0,0,0,0,0,0,"tabu",201,"bic"
"X..2.1..",0,0,0,0,0,0,0,0,"tabu",201,"bic"
"X..2.2..",0,0,0,0,0,0,0,0,"tabu",201,"bic"
