"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X.rsmax2.","X83","X.pc.stable.","X.mi.","X0.1","X.hc.","X.bic."
"X.1.1.",0,0,0,0,1,0,0,0,"rsmax2",83,"pc.stable","mi",0.1,"hc","bic"
"X.1.2.",0,0,0,0,0,1,0,0,"rsmax2",83,"pc.stable","mi",0.1,"hc","bic"
"X.2.1.",0,0,0,0,0,0,1,0,"rsmax2",83,"pc.stable","mi",0.1,"hc","bic"
"X.2.2.",0,0,0,0,0,0,0,1,"rsmax2",83,"pc.stable","mi",0.1,"hc","bic"
"X..1.1..",0,0,0,0,0,0,0,0,"rsmax2",83,"pc.stable","mi",0.1,"hc","bic"
"X..1.2..",0,0,0,0,0,0,0,0,"rsmax2",83,"pc.stable","mi",0.1,"hc","bic"
"X..2.1..",0,0,0,0,0,0,0,0,"rsmax2",83,"pc.stable","mi",0.1,"hc","bic"
"X..2.2..",0,0,0,0,0,0,0,0,"rsmax2",83,"pc.stable","mi",0.1,"hc","bic"
