,Algorithm,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,hc,bde,561.0,12.0,3.0,0.7337962962962963,0.9019607843137255,0.7142857142857143,0.9629629629629629,-125206.95415991633,-146272.89654427796
1,hc,bic,561.0,12.0,13.0,0.6938271604938272,0.8496732026143791,0.6842105263157895,0.9629629629629629,-126638.21099389513,-130069.19953860118
2,tabu,bde,852.0,12.0,3.0,0.7337962962962963,0.9019607843137255,0.7142857142857143,0.9629629629629629,-125206.95415991633,-146272.89654427796
3,tabu,bic,1107.0,19.0,26.0,0.5282186948853616,0.7598039215686275,0.5128205128205129,0.941358024691358,-127386.86538976696,-129967.06698359096
