,Algorithm,Test,Sig. level,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,h2pc,mi,0.01,bde,754.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
1,h2pc,mi,0.01,bic,754.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
2,h2pc,mi,0.05,bde,759.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
3,h2pc,mi,0.05,bic,759.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
4,h2pc,mi,0.1,bde,772.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
5,h2pc,mi,0.1,bic,772.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
6,h2pc,x2,0.01,bde,685.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
7,h2pc,x2,0.01,bic,685.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
8,h2pc,x2,0.05,bde,756.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
9,h2pc,x2,0.05,bic,756.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
10,h2pc,x2,0.1,bde,760.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
11,h2pc,x2,0.1,bic,760.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
12,mmhc,mi,0.01,bde,777.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
13,mmhc,mi,0.01,bic,777.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
14,mmhc,mi,0.05,bde,789.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
15,mmhc,mi,0.05,bic,789.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
16,mmhc,mi,0.1,bde,825.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
17,mmhc,mi,0.1,bic,825.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
18,mmhc,x2,0.01,bde,767.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
19,mmhc,x2,0.01,bic,767.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
20,mmhc,x2,0.05,bde,781.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
21,mmhc,x2,0.05,bic,781.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
22,mmhc,x2,0.1,bde,793.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
23,mmhc,x2,0.1,bic,793.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-8001.279076337765,-8229.903781671363
