,Algorithm,Test,Sig. level,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,h2pc,mi,0.01,bde,380.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
1,h2pc,mi,0.01,bic,380.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
2,h2pc,mi,0.05,bde,388.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
3,h2pc,mi,0.05,bic,388.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
4,h2pc,mi,0.1,bde,441.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
5,h2pc,mi,0.1,bic,441.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
6,h2pc,x2,0.01,bde,380.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
7,h2pc,x2,0.01,bic,380.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
8,h2pc,x2,0.05,bde,388.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
9,h2pc,x2,0.05,bic,388.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
10,h2pc,x2,0.1,bde,408.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
11,h2pc,x2,0.1,bic,408.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
12,mmhc,mi,0.01,bde,560.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
13,mmhc,mi,0.01,bic,560.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
14,mmhc,mi,0.05,bde,576.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
15,mmhc,mi,0.05,bic,576.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
16,mmhc,mi,0.1,bde,648.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
17,mmhc,mi,0.1,bic,648.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
18,mmhc,x2,0.01,bde,560.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
19,mmhc,x2,0.01,bic,560.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
20,mmhc,x2,0.05,bde,576.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
21,mmhc,x2,0.05,bic,576.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
22,mmhc,x2,0.1,bde,624.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
23,mmhc,x2,0.1,bic,624.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-6904.286204779773,-7108.570911403359
