,Algorithm,Test,Sig. level,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,fast.iamb,mi,0.01,298.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-1284.2005793747592,-1631.2692844710707
1,fast.iamb,mi,0.05,270.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-1284.2005793747592,-1631.2692844710707
2,fast.iamb,mi,0.1,270.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-1284.2005793747592,-1631.2692844710707
3,fast.iamb,x2,0.01,298.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-1284.2005793747592,-1631.2692844710707
4,fast.iamb,x2,0.05,284.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-1284.2005793747592,-1631.2692844710707
5,fast.iamb,x2,0.1,270.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-1284.2005793747592,-1631.2692844710707
6,iamb.fdr,mi,0.01,540.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-1284.2005793747592,-1631.2692844710707
7,iamb.fdr,mi,0.05,540.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-1284.2005793747592,-1631.2692844710707
8,iamb.fdr,mi,0.1,540.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-1284.2005793747592,-1631.2692844710707
9,iamb.fdr,x2,0.01,540.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-1284.2005793747592,-1631.2692844710707
10,iamb.fdr,x2,0.05,540.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-1284.2005793747592,-1631.2692844710707
11,iamb.fdr,x2,0.1,540.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-1284.2005793747592,-1631.2692844710707
12,gs,mi,0.01,386.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-1284.2005793747592,-1631.2692844710707
13,gs,mi,0.05,377.0,16.0,28.0,0.34895833333333337,0.6502732240437158,0.3333333333333333,0.9375,-2908.7581801014994,-3043.3646246032367
14,gs,mi,0.1,402.0,16.0,30.0,0.34895833333333337,0.6502732240437158,0.3333333333333333,0.9375,-3249.1055959834957,-3376.952288429705
15,gs,x2,0.01,382.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-1284.2005793747592,-1631.2692844710707
16,gs,x2,0.05,389.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-1284.2005793747592,-1631.2692844710707
17,gs,x2,0.1,401.0,12.0,33.0,0.5514322916666666,0.7773224043715847,0.5384615384615384,0.953125,-1500.3808311536247,-1805.1209395991948
18,iamb,mi,0.01,520.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-1284.2005793747592,-1631.2692844710707
