,Algorithm,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,hc,bde,360.0,4.0,0.0,0.875,0.9918032786885246,0.8571428571428571,0.984375,-1302.1507201634695,-3624.929822810749
1,hc,bic,300.0,8.0,16.0,0.6744791666666666,0.8251366120218578,0.6666666666666666,0.96875,-1368.13114184997,-1553.8549542028288
2,tabu,bde,631.0,4.0,0.0,0.875,0.9918032786885246,0.8571428571428571,0.984375,-1302.1507201634695,-3624.929822810749
3,tabu,bic,584.0,8.0,16.0,0.6744791666666666,0.8251366120218578,0.6666666666666666,0.96875,-1368.13114184997,-1553.8549542028288
