,Algorithm,Test,Sig. level,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,h2pc,mi,0.01,bde,380.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
1,h2pc,mi,0.01,bic,380.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
2,h2pc,mi,0.05,bde,386.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
3,h2pc,mi,0.05,bic,386.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
4,h2pc,mi,0.1,bde,395.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
5,h2pc,mi,0.1,bic,395.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
6,h2pc,x2,0.01,bde,380.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
7,h2pc,x2,0.01,bic,380.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
8,h2pc,x2,0.05,bde,386.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
9,h2pc,x2,0.05,bic,386.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
10,h2pc,x2,0.1,bde,392.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
11,h2pc,x2,0.1,bic,392.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
12,mmhc,mi,0.01,bde,560.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
13,mmhc,mi,0.01,bic,560.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
14,mmhc,mi,0.05,bde,576.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
15,mmhc,mi,0.05,bic,576.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
16,mmhc,mi,0.1,bde,604.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
17,mmhc,mi,0.1,bic,604.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
18,mmhc,x2,0.01,bde,560.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
19,mmhc,x2,0.01,bic,560.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
20,mmhc,x2,0.05,bde,576.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
21,mmhc,x2,0.05,bic,576.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
22,mmhc,x2,0.1,bde,592.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
23,mmhc,x2,0.1,bic,592.0,4.0,8.0,0.8411458333333333,0.8333333333333333,0.8,0.984375,-1518.5466664188348,-1654.1879536079828
