"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X.mmhc.","X156","X.mmpc.","X.mi.","X0.01","X.hc.","X.bic."
"X.1.1.",0,0,0,0,1,0,0,0,"mmhc",156,"mmpc","mi",0.01,"hc","bic"
"X.1.2.",0,0,0,0,0,1,0,0,"mmhc",156,"mmpc","mi",0.01,"hc","bic"
"X.2.1.",0,0,0,0,0,0,1,0,"mmhc",156,"mmpc","mi",0.01,"hc","bic"
"X.2.2.",0,0,0,0,0,0,0,1,"mmhc",156,"mmpc","mi",0.01,"hc","bic"
"X..1.1..",0,0,0,0,0,0,0,0,"mmhc",156,"mmpc","mi",0.01,"hc","bic"
"X..1.2..",0,0,0,0,0,0,0,0,"mmhc",156,"mmpc","mi",0.01,"hc","bic"
"X..2.1..",0,0,0,0,0,0,0,0,"mmhc",156,"mmpc","mi",0.01,"hc","bic"
"X..2.2..",0,0,0,0,0,0,0,0,"mmhc",156,"mmpc","mi",0.01,"hc","bic"
