,Algorithm,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,hc,bde,84.0,2.0,0.0,0.875,0.9827586206896552,0.8571428571428571,0.96875,-111040.29688342536,-113611.42851486584
1,hc,bic,70.0,0.0,0.0,1.0,1.0,1.0,1.0,-111049.45624625268,-111709.9589047789
2,tabu,bde,207.0,2.0,0.0,0.875,0.9827586206896552,0.8571428571428571,0.96875,-111040.29688342536,-113611.42851486584
3,tabu,bic,199.0,0.0,0.0,1.0,1.0,1.0,1.0,-111049.45624625268,-111709.9589047789
