,Algorithm,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,hc,bde,390.0,16.0,25.0,0.58203125,0.7372881355932203,0.5555555555555556,0.9375,-1437.7914752770719,-5555.112637030984
1,hc,bic,240.0,16.0,40.0,0.5523437499999999,0.6457627118644068,0.4285714285714285,0.9375,-1522.4776979079152,-1642.928748456388
2,tabu,bde,790.0,25.0,50.0,0.3538143382352941,0.6266949152542374,0.3243243243243243,0.90234375,-1435.7487626858763,-5576.490422065251
3,tabu,bic,500.0,16.0,40.0,0.5523437499999999,0.6457627118644068,0.4285714285714285,0.9375,-1522.4776979079152,-1642.928748456388
