"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X.fast.iamb.","X108","X.x2.","X0.01"
"X.1.1.",0,0,0,0,1,0,0,0,"fast.iamb",108,"x2",0.01
"X.1.2.",0,0,0,0,0,1,0,0,"fast.iamb",108,"x2",0.01
"X.2.1.",0,0,0,0,0,0,1,0,"fast.iamb",108,"x2",0.01
"X.2.2.",0,0,0,0,0,0,0,1,"fast.iamb",108,"x2",0.01
"X..1.1..",1,0,0,0,0,0,0,0,"fast.iamb",108,"x2",0.01
"X..1.2..",0,1,0,0,0,0,0,0,"fast.iamb",108,"x2",0.01
"X..2.1..",0,0,1,0,0,0,0,0,"fast.iamb",108,"x2",0.01
"X..2.2..",0,0,0,1,0,0,0,0,"fast.iamb",108,"x2",0.01
