"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X.h2pc.","X100","X.mi.","X0.05","X.bde."
"X.1.1.",0,0,0,0,1,0,0,0,"h2pc",100,"mi",0.05,"bde"
"X.1.2.",0,0,0,0,0,1,0,0,"h2pc",100,"mi",0.05,"bde"
"X.2.1.",0,0,0,0,0,0,1,0,"h2pc",100,"mi",0.05,"bde"
"X.2.2.",0,0,0,0,0,0,0,1,"h2pc",100,"mi",0.05,"bde"
"X..1.1..",0,0,0,0,0,0,0,0,"h2pc",100,"mi",0.05,"bde"
"X..1.2..",0,0,0,0,0,0,0,0,"h2pc",100,"mi",0.05,"bde"
"X..2.1..",0,0,0,0,0,0,0,0,"h2pc",100,"mi",0.05,"bde"
"X..2.2..",0,0,0,0,0,0,0,0,"h2pc",100,"mi",0.05,"bde"
