,Algorithm,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,hc,bde,1674.0,38.0,93.0,0.48935546874999997,0.7048780487804879,0.47222222222222215,0.962890625,-2823.29806384094,-5328.655884986681
1,hc,bic,1085.0,29.0,77.0,0.5944438733552632,0.6854674796747967,0.5084745762711864,0.9716796875,-2924.6116771431093,-3192.1263859027717
2,tabu,bde,2599.0,49.0,126.0,0.3454900568181818,0.6393292682926829,0.32876712328767127,0.9521484375,-2823.0418071167046,-5332.458438318747
3,tabu,bic,2152.0,46.0,129.0,0.27861328124999996,0.5808943089430895,0.23333333333333334,0.955078125,-2914.4841382550544,-3192.0081562466867
