"","X.1.1.","X.1.2.","X.1.3.","X.2.1.","X.2.2.","X.2.3.","X.3.1.","X.3.2.","X.3.3.","X..1.1..","X..1.2..","X..1.3..","X..2.1..","X..2.2..","X..2.3..","X..3.1..","X..3.2..","X..3.3..","X.fci.","X347","X.G2.","X0.05"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",347,"G2",0.05
