,Algorithm,Restrict,Test,Sig. level,Maximize,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,rsmax2,fast.iamb,mi,0.01,hc,bde,1787.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-28019.627875499453,-28490.700694904244
1,rsmax2,fast.iamb,mi,0.01,hc,bic,1787.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-28019.627875499453,-28490.700694904244
2,rsmax2,fast.iamb,mi,0.01,tabu,bde,1807.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-28019.627875499453,-28490.700694904244
3,rsmax2,fast.iamb,mi,0.01,tabu,bic,1807.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-28019.627875499453,-28490.700694904244
4,rsmax2,fast.iamb,mi,0.05,hc,bde,1762.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-28019.627875499453,-28490.700694904244
5,rsmax2,fast.iamb,mi,0.05,hc,bic,1762.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-28019.627875499453,-28490.700694904244
6,rsmax2,fast.iamb,mi,0.05,tabu,bde,1782.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-28019.627875499453,-28490.700694904244
7,rsmax2,fast.iamb,mi,0.05,tabu,bic,1782.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-28019.627875499453,-28490.700694904244
8,rsmax2,fast.iamb,mi,0.1,hc,bde,1733.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-28019.627875499453,-28490.700694904244
9,rsmax2,fast.iamb,mi,0.1,hc,bic,1733.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-28019.627875499453,-28490.700694904244
10,rsmax2,fast.iamb,mi,0.1,tabu,bde,1753.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-28019.627875499453,-28490.700694904244
11,rsmax2,fast.iamb,mi,0.1,tabu,bic,1753.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-28019.627875499453,-28490.700694904244
12,rsmax2,fast.iamb,x2,0.01,hc,bde,1709.0,25.0,59.0,0.6823069852941177,0.6994918699186992,0.5614035087719298,0.9755859375,-27940.799257520033,-28611.37264367012
