,Algorithm,Restrict,Test,Sig. level,Maximize,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,rsmax2,fast.iamb,mi,0.01,hc,bde,2523.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
1,rsmax2,fast.iamb,mi,0.01,hc,bic,2523.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
2,rsmax2,fast.iamb,mi,0.01,tabu,bde,2543.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
3,rsmax2,fast.iamb,mi,0.01,tabu,bic,2543.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
4,rsmax2,fast.iamb,mi,0.05,hc,bde,2539.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
5,rsmax2,fast.iamb,mi,0.05,hc,bic,2539.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
6,rsmax2,fast.iamb,mi,0.05,tabu,bde,2559.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
7,rsmax2,fast.iamb,mi,0.05,tabu,bic,2559.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
8,rsmax2,fast.iamb,mi,0.1,hc,bde,2549.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
9,rsmax2,fast.iamb,mi,0.1,hc,bic,2549.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
10,rsmax2,fast.iamb,mi,0.1,tabu,bde,2569.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
11,rsmax2,fast.iamb,mi,0.1,tabu,bic,2569.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
12,rsmax2,fast.iamb,x2,0.01,hc,bde,2525.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
13,rsmax2,fast.iamb,x2,0.01,hc,bic,2525.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
14,rsmax2,fast.iamb,x2,0.01,tabu,bde,2545.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
15,rsmax2,fast.iamb,x2,0.01,tabu,bic,2545.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
16,rsmax2,fast.iamb,x2,0.05,hc,bde,2542.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
17,rsmax2,fast.iamb,x2,0.05,hc,bic,2542.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
18,rsmax2,fast.iamb,x2,0.05,tabu,bde,2562.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
19,rsmax2,fast.iamb,x2,0.05,tabu,bic,2562.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
20,rsmax2,fast.iamb,x2,0.1,hc,bde,2557.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
21,rsmax2,fast.iamb,x2,0.1,hc,bic,2557.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
22,rsmax2,fast.iamb,x2,0.1,tabu,bde,2577.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
23,rsmax2,fast.iamb,x2,0.1,tabu,bic,2577.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
24,rsmax2,gs,mi,0.01,hc,bde,1761.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
25,rsmax2,gs,mi,0.01,hc,bic,1761.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
26,rsmax2,gs,mi,0.01,tabu,bde,1781.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
27,rsmax2,gs,mi,0.01,tabu,bic,1781.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
28,rsmax2,gs,mi,0.05,hc,bde,1891.0,25.0,61.0,0.69970703125,0.6875,0.5454545454545454,0.9755859375,-1385798.9868541246,-1386553.781010256
29,rsmax2,gs,mi,0.05,hc,bic,1891.0,25.0,61.0,0.69970703125,0.6875,0.5454545454545454,0.9755859375,-1385798.9868541246,-1386553.781010256
30,rsmax2,gs,mi,0.05,tabu,bde,1911.0,25.0,61.0,0.69970703125,0.6875,0.5454545454545454,0.9755859375,-1385798.9868541246,-1386553.781010256
31,rsmax2,gs,mi,0.05,tabu,bic,1911.0,25.0,61.0,0.69970703125,0.6875,0.5454545454545454,0.9755859375,-1385798.9868541246,-1386553.781010256
32,rsmax2,gs,mi,0.1,hc,bde,1869.0,28.0,67.0,0.6636718749999999,0.65,0.4615384615384615,0.97265625,-1512756.9072009644,-1513357.0397281616
33,rsmax2,gs,mi,0.1,hc,bic,1869.0,28.0,67.0,0.6636718749999999,0.65,0.4615384615384615,0.97265625,-1512756.9072009644,-1513357.0397281616
34,rsmax2,gs,mi,0.1,tabu,bde,1889.0,28.0,67.0,0.6636718749999999,0.65,0.4615384615384615,0.97265625,-1512756.9072009644,-1513357.0397281616
35,rsmax2,gs,mi,0.1,tabu,bic,1889.0,28.0,67.0,0.6636718749999999,0.65,0.4615384615384615,0.97265625,-1512756.9072009644,-1513357.0397281616
36,rsmax2,gs,x2,0.01,hc,bde,1761.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
37,rsmax2,gs,x2,0.01,hc,bic,1761.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
38,rsmax2,gs,x2,0.01,tabu,bde,1781.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
39,rsmax2,gs,x2,0.01,tabu,bic,1781.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
40,rsmax2,gs,x2,0.05,hc,bde,1864.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
41,rsmax2,gs,x2,0.05,hc,bic,1864.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
42,rsmax2,gs,x2,0.05,tabu,bde,1884.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
43,rsmax2,gs,x2,0.05,tabu,bic,1884.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
44,rsmax2,gs,x2,0.1,hc,bde,1859.0,26.0,62.0,0.6876953125,0.675,0.5185185185185185,0.974609375,-1410784.6219919026,-1411488.7898704049
45,rsmax2,gs,x2,0.1,hc,bic,1859.0,26.0,62.0,0.6876953125,0.675,0.5185185185185185,0.974609375,-1410784.6219919026,-1411488.7898704049
46,rsmax2,gs,x2,0.1,tabu,bde,1879.0,26.0,62.0,0.6876953125,0.675,0.5185185185185185,0.974609375,-1410784.6219919026,-1411488.7898704049
47,rsmax2,gs,x2,0.1,tabu,bic,1879.0,26.0,62.0,0.6876953125,0.675,0.5185185185185185,0.974609375,-1410784.6219919026,-1411488.7898704049
48,rsmax2,hpc,mi,0.01,tabu,bde,5296.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
49,rsmax2,hpc,mi,0.01,tabu,bic,5296.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
50,rsmax2,hpc,mi,0.05,tabu,bde,5330.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
51,rsmax2,hpc,mi,0.05,tabu,bic,5330.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
52,rsmax2,hpc,mi,0.1,tabu,bde,5383.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
53,rsmax2,hpc,mi,0.1,tabu,bic,5383.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
54,rsmax2,hpc,x2,0.01,tabu,bde,5152.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
55,rsmax2,hpc,x2,0.01,tabu,bic,5152.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
56,rsmax2,hpc,x2,0.05,tabu,bde,5182.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
57,rsmax2,hpc,x2,0.05,tabu,bic,5182.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
58,rsmax2,hpc,x2,0.1,tabu,bde,5232.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
59,rsmax2,hpc,x2,0.1,tabu,bic,5232.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
60,rsmax2,iamb.fdr,mi,0.01,hc,bde,3504.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
61,rsmax2,iamb.fdr,mi,0.01,hc,bic,3504.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
62,rsmax2,iamb.fdr,mi,0.01,tabu,bde,3524.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
63,rsmax2,iamb.fdr,mi,0.01,tabu,bic,3524.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
64,rsmax2,iamb.fdr,mi,0.05,hc,bde,3504.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
65,rsmax2,iamb.fdr,mi,0.05,hc,bic,3504.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
66,rsmax2,iamb.fdr,mi,0.05,tabu,bde,3524.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
67,rsmax2,iamb.fdr,mi,0.05,tabu,bic,3524.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
68,rsmax2,iamb.fdr,mi,0.1,hc,bde,3504.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
69,rsmax2,iamb.fdr,mi,0.1,hc,bic,3504.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
70,rsmax2,iamb.fdr,mi,0.1,tabu,bde,3524.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
71,rsmax2,iamb.fdr,mi,0.1,tabu,bic,3524.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
72,rsmax2,iamb.fdr,x2,0.01,hc,bde,3504.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
73,rsmax2,iamb.fdr,x2,0.01,hc,bic,3504.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
74,rsmax2,iamb.fdr,x2,0.01,tabu,bde,3524.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
75,rsmax2,iamb.fdr,x2,0.01,tabu,bic,3524.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
76,rsmax2,iamb.fdr,x2,0.05,hc,bde,3504.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
77,rsmax2,iamb.fdr,x2,0.05,hc,bic,3504.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
78,rsmax2,iamb.fdr,x2,0.05,tabu,bde,3524.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
79,rsmax2,iamb.fdr,x2,0.05,tabu,bic,3524.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
80,rsmax2,iamb.fdr,x2,0.1,hc,bde,3504.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
81,rsmax2,iamb.fdr,x2,0.1,hc,bic,3504.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
82,rsmax2,iamb.fdr,x2,0.1,tabu,bde,3524.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375215.629572408,-1376021.8011731906
