,Algorithm,Restrict,Test,Sig. level,Maximize,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,rsmax2,fast.iamb,mi,0.01,hc,bde,671.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137936.96306559947,-138270.92270661378
1,rsmax2,fast.iamb,mi,0.01,hc,bic,671.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137936.96306559947,-138270.92270661378
2,rsmax2,fast.iamb,mi,0.01,tabu,bde,691.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137936.96306559947,-138270.92270661378
3,rsmax2,fast.iamb,mi,0.01,tabu,bic,691.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137936.96306559947,-138270.92270661378
4,rsmax2,fast.iamb,mi,0.05,hc,bde,656.0,11.0,29.0,0.7464843750000001,0.725,0.6206896551724138,0.95703125,-136285.0114202886,-136799.32664491047
5,rsmax2,fast.iamb,mi,0.05,hc,bic,656.0,11.0,29.0,0.7464843750000001,0.725,0.6206896551724138,0.95703125,-136285.0114202886,-136799.32664491047
6,rsmax2,fast.iamb,mi,0.05,tabu,bde,677.0,11.0,29.0,0.7464843750000001,0.725,0.6206896551724138,0.95703125,-136285.0114202886,-136799.32664491047
7,rsmax2,fast.iamb,mi,0.05,tabu,bic,677.0,11.0,29.0,0.7464843750000001,0.725,0.6206896551724138,0.95703125,-136285.0114202886,-136799.32664491047
8,rsmax2,fast.iamb,mi,0.1,hc,bde,676.0,11.0,29.0,0.7464843750000001,0.725,0.6206896551724138,0.95703125,-136285.0114202886,-136799.32664491047
9,rsmax2,fast.iamb,mi,0.1,hc,bic,676.0,11.0,29.0,0.7464843750000001,0.725,0.6206896551724138,0.95703125,-136285.0114202886,-136799.32664491047
10,rsmax2,fast.iamb,mi,0.1,tabu,bde,697.0,11.0,29.0,0.7464843750000001,0.725,0.6206896551724138,0.95703125,-136285.0114202886,-136799.32664491047
