,Algorithm,Test,Sig. level,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,h2pc,mi,0.01,bde,1530.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137936.96306559947,-138270.92270661378
1,h2pc,mi,0.01,bic,1530.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137936.96306559947,-138270.92270661378
2,h2pc,mi,0.05,bde,1518.0,11.0,29.0,0.7464843750000001,0.725,0.6206896551724138,0.95703125,-137229.57771701744,-137743.42367978577
3,h2pc,mi,0.05,bic,1518.0,13.0,37.0,0.6678819444444444,0.6978813559322034,0.5517241379310346,0.94921875,-137291.7932131857,-137655.50861918702
4,h2pc,mi,0.1,bde,1525.0,11.0,29.0,0.7464843750000001,0.725,0.6206896551724138,0.95703125,-137229.57771701744,-137743.42367978577
5,h2pc,mi,0.1,bic,1525.0,13.0,37.0,0.6678819444444444,0.6978813559322034,0.5517241379310346,0.94921875,-137291.7932131857,-137655.50861918702
6,h2pc,x2,0.01,bde,1537.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137936.96306559947,-138270.92270661378
7,h2pc,x2,0.01,bic,1537.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137936.96306559947,-138270.92270661378
8,h2pc,x2,0.05,bde,1537.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137936.96306559947,-138270.92270661378
9,h2pc,x2,0.05,bic,1537.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137936.96306559947,-138270.92270661378
10,h2pc,x2,0.1,bde,1545.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137936.96306559947,-138270.92270661378
11,h2pc,x2,0.1,bic,1545.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137936.96306559947,-138270.92270661378
12,mmhc,mi,0.01,bde,864.0,10.0,28.0,0.76953125,0.75,0.6666666666666666,0.9609375,-134668.93686924485,-135363.55071915104
13,mmhc,mi,0.01,bic,864.0,10.0,28.0,0.76953125,0.75,0.6666666666666666,0.9609375,-134668.93686924485,-135363.55071915104
14,mmhc,mi,0.05,bde,881.0,9.0,27.0,0.792578125,0.775,0.7096774193548387,0.96484375,-133921.7410391381,-134796.27113168035
15,mmhc,mi,0.05,bic,882.0,11.0,35.0,0.7240767045454546,0.7478813559322035,0.6451612903225806,0.95703125,-134008.5020965338,-134732.82876743513
16,mmhc,mi,0.1,bde,901.0,9.0,27.0,0.792578125,0.775,0.7096774193548387,0.96484375,-133921.7410391381,-134796.27113168035
17,mmhc,mi,0.1,bic,902.0,11.0,35.0,0.7240767045454546,0.7478813559322035,0.6451612903225806,0.95703125,-134008.5020965338,-134732.82876743513
18,mmhc,x2,0.01,bde,862.0,8.0,26.0,0.815625,0.8,0.7499999999999999,0.96875,-133228.6920889067,-134283.09339738442
19,mmhc,x2,0.01,bic,862.0,12.0,42.0,0.6861979166666667,0.7457627118644068,0.625,0.953125,-133360.41400300898,-134114.4993881291
20,mmhc,x2,0.05,bde,862.0,8.0,26.0,0.815625,0.8,0.7499999999999999,0.96875,-133228.6920889067,-134283.09339738442
21,mmhc,x2,0.05,bic,862.0,12.0,42.0,0.6861979166666667,0.7457627118644068,0.625,0.953125,-133360.41400300898,-134114.4993881291
22,mmhc,x2,0.1,bde,886.0,8.0,26.0,0.815625,0.8,0.7499999999999999,0.96875,-133228.6920889067,-134283.09339738442
23,mmhc,x2,0.1,bic,886.0,12.0,42.0,0.6861979166666667,0.7457627118644068,0.625,0.953125,-133360.41400300898,-134114.4993881291
