,Algorithm,Restrict,Test,Sig. level,Maximize,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,rsmax2,fast.iamb,mi,0.01,hc,bde,617.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
1,rsmax2,fast.iamb,mi,0.01,hc,bic,617.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
2,rsmax2,fast.iamb,mi,0.01,tabu,bde,637.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
3,rsmax2,fast.iamb,mi,0.01,tabu,bic,637.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
4,rsmax2,fast.iamb,mi,0.05,hc,bde,610.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
5,rsmax2,fast.iamb,mi,0.05,hc,bic,610.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
6,rsmax2,fast.iamb,mi,0.05,tabu,bde,630.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
7,rsmax2,fast.iamb,mi,0.05,tabu,bic,630.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
8,rsmax2,fast.iamb,mi,0.1,hc,bde,618.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
9,rsmax2,fast.iamb,mi,0.1,hc,bic,618.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
10,rsmax2,fast.iamb,mi,0.1,tabu,bde,638.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
11,rsmax2,fast.iamb,mi,0.1,tabu,bic,638.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
12,rsmax2,fast.iamb,x2,0.01,hc,bde,679.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
13,rsmax2,fast.iamb,x2,0.01,hc,bic,679.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
14,rsmax2,fast.iamb,x2,0.01,tabu,bde,699.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
15,rsmax2,fast.iamb,x2,0.01,tabu,bic,699.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
16,rsmax2,fast.iamb,x2,0.05,hc,bde,641.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
17,rsmax2,fast.iamb,x2,0.05,hc,bic,641.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
18,rsmax2,fast.iamb,x2,0.05,tabu,bde,661.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
19,rsmax2,fast.iamb,x2,0.05,tabu,bic,661.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
20,rsmax2,fast.iamb,x2,0.1,hc,bde,651.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-686767.6294912999,-687170.8063787924
