,Algorithm,Test,Sig. level,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,h2pc,mi,0.01,bde,1433.0,10.0,28.0,0.76953125,0.75,0.6666666666666666,0.9609375,-68257.87425647498,-68891.20852189884
1,h2pc,mi,0.01,bic,1433.0,14.0,44.0,0.6234375000000001,0.6957627118644067,0.5333333333333333,0.9453125,-68336.43337437377,-68694.7735948197
2,h2pc,mi,0.05,bde,1472.0,10.0,28.0,0.76953125,0.75,0.6666666666666666,0.9609375,-68257.87425647498,-68891.20852189884
3,h2pc,mi,0.05,bic,1472.0,14.0,44.0,0.6234375000000001,0.6957627118644067,0.5333333333333333,0.9453125,-68336.43337437377,-68694.7735948197
4,h2pc,mi,0.1,bde,1514.0,10.0,28.0,0.76953125,0.75,0.6666666666666666,0.9609375,-68257.87425647498,-68891.20852189884
5,h2pc,mi,0.1,bic,1514.0,14.0,44.0,0.6234375000000001,0.6957627118644067,0.5333333333333333,0.9453125,-68336.43337437377,-68694.7735948197
6,h2pc,x2,0.01,bde,1362.0,11.0,29.0,0.7464843750000001,0.725,0.6206896551724138,0.95703125,-68613.34586965495,-69082.16346185327
7,h2pc,x2,0.01,bic,1362.0,13.0,37.0,0.6678819444444444,0.6978813559322034,0.5517241379310346,0.94921875,-68650.73830229518,-68982.08520674428
8,h2pc,x2,0.05,bde,1473.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-68964.38317563287,-69268.81437763716
9,h2pc,x2,0.05,bic,1473.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-68964.38317563287,-69268.81437763716
10,h2pc,x2,0.1,bde,1494.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-68964.38317563287,-69268.81437763716
11,h2pc,x2,0.1,bic,1494.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-68964.38317563287,-69268.81437763716
12,mmhc,mi,0.01,bde,845.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-68964.38317563287,-69268.81437763716
13,mmhc,mi,0.01,bic,845.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-68964.38317563287,-69268.81437763716
14,mmhc,mi,0.05,bde,863.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-68964.38317563287,-69268.81437763716
15,mmhc,mi,0.05,bic,863.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-68964.38317563287,-69268.81437763716
16,mmhc,mi,0.1,bde,922.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-68964.38317563287,-69268.81437763716
17,mmhc,mi,0.1,bic,922.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-68964.38317563287,-69268.81437763716
18,mmhc,x2,0.01,bde,786.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-68964.38317563287,-69268.81437763716
19,mmhc,x2,0.01,bic,786.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-68964.38317563287,-69268.81437763716
20,mmhc,x2,0.05,bde,812.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-68964.38317563287,-69268.81437763716
21,mmhc,x2,0.05,bic,812.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-68964.38317563287,-69268.81437763716
22,mmhc,x2,0.1,bde,867.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-68964.38317563287,-69268.81437763716
23,mmhc,x2,0.1,bic,867.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-68964.38317563287,-69268.81437763716
