"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X.mmhc.","X148","X.mi.","X0.05","X.bde."
"X.1.1.",0,0,0,0,1,0,0,0,"mmhc",148,"mi",0.05,"bde"
"X.1.2.",0,0,0,0,0,1,0,0,"mmhc",148,"mi",0.05,"bde"
"X.2.1.",0,0,0,0,0,0,1,0,"mmhc",148,"mi",0.05,"bde"
"X.2.2.",0,0,0,0,0,0,0,1,"mmhc",148,"mi",0.05,"bde"
"X..1.1..",0,0,0,0,0,0,0,0,"mmhc",148,"mi",0.05,"bde"
"X..1.2..",0,0,0,0,0,0,0,0,"mmhc",148,"mi",0.05,"bde"
"X..2.1..",0,0,0,0,0,0,0,0,"mmhc",148,"mi",0.05,"bde"
"X..2.2..",0,0,0,0,0,0,0,0,"mmhc",148,"mi",0.05,"bde"
