"","X.1.1.","X.1.2.","X.1.3.","X.1.4.","X.2.1.","X.2.2.","X.2.3.","X.2.4.","X..1.1..","X..1.2..","X..1.3..","X..1.4..","X..2.1..","X..2.2..","X..2.3..","X..2.4..","X.h2pc.","X394","X.hpc.","X.x2.","X0.05","X.hc.","X.bic."
"X.1.1.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"h2pc",394,"hpc","x2",0.05,"hc","bic"
"X.1.2.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"h2pc",394,"hpc","x2",0.05,"hc","bic"
"X.1.3.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"h2pc",394,"hpc","x2",0.05,"hc","bic"
"X.1.4.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"h2pc",394,"hpc","x2",0.05,"hc","bic"
"X.2.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"h2pc",394,"hpc","x2",0.05,"hc","bic"
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"h2pc",394,"hpc","x2",0.05,"hc","bic"
"X.2.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"h2pc",394,"hpc","x2",0.05,"hc","bic"
"X.2.4.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"h2pc",394,"hpc","x2",0.05,"hc","bic"
"X..1.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h2pc",394,"hpc","x2",0.05,"hc","bic"
"X..1.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h2pc",394,"hpc","x2",0.05,"hc","bic"
"X..1.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h2pc",394,"hpc","x2",0.05,"hc","bic"
"X..1.4..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h2pc",394,"hpc","x2",0.05,"hc","bic"
"X..2.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h2pc",394,"hpc","x2",0.05,"hc","bic"
"X..2.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h2pc",394,"hpc","x2",0.05,"hc","bic"
"X..2.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h2pc",394,"hpc","x2",0.05,"hc","bic"
"X..2.4..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h2pc",394,"hpc","x2",0.05,"hc","bic"
