,Algorithm,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,hc,bde,561.0,12.0,3.0,0.7337962962962963,0.9019607843137255,0.7142857142857143,0.9629629629629629,-125203.49362059253,-146269.43500343736
1,hc,bic,612.0,15.0,18.0,0.6283068783068783,0.818627450980392,0.6153846153846153,0.9537037037037037,-127354.90405805249,-129935.03462375373
2,tabu,bde,852.0,12.0,3.0,0.7337962962962963,0.9019607843137255,0.7142857142857143,0.9629629629629629,-125203.49362059253,-146269.43500343736
3,tabu,bic,916.0,15.0,18.0,0.6283068783068783,0.818627450980392,0.6153846153846153,0.9537037037037037,-127354.90405805249,-129935.03462375373
