,Algorithm,Restrict,Test,Sig. level,Maximize,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,rsmax2,fast.iamb,mi,0.01,hc,bde,1852.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
1,rsmax2,fast.iamb,mi,0.01,hc,bic,1852.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
2,rsmax2,fast.iamb,mi,0.01,tabu,bde,1872.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
3,rsmax2,fast.iamb,mi,0.01,tabu,bic,1872.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
4,rsmax2,fast.iamb,mi,0.05,hc,bde,1772.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
5,rsmax2,fast.iamb,mi,0.05,hc,bic,1772.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
6,rsmax2,fast.iamb,mi,0.05,tabu,bde,1792.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
7,rsmax2,fast.iamb,mi,0.05,tabu,bic,1792.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
8,rsmax2,fast.iamb,mi,0.1,hc,bde,1808.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
9,rsmax2,fast.iamb,mi,0.1,hc,bic,1808.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
10,rsmax2,fast.iamb,mi,0.1,tabu,bde,1828.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
11,rsmax2,fast.iamb,mi,0.1,tabu,bic,1828.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
12,rsmax2,fast.iamb,x2,0.01,hc,bde,2194.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
13,rsmax2,fast.iamb,x2,0.01,hc,bic,2194.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
14,rsmax2,fast.iamb,x2,0.01,tabu,bde,2214.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
15,rsmax2,fast.iamb,x2,0.01,tabu,bic,2214.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
16,rsmax2,fast.iamb,x2,0.05,hc,bde,2227.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
17,rsmax2,fast.iamb,x2,0.05,hc,bic,2227.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
18,rsmax2,fast.iamb,x2,0.05,tabu,bde,2247.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
19,rsmax2,fast.iamb,x2,0.05,tabu,bic,2247.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
20,rsmax2,fast.iamb,x2,0.1,hc,bde,2233.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
21,rsmax2,fast.iamb,x2,0.1,hc,bic,2233.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
22,rsmax2,fast.iamb,x2,0.1,tabu,bde,2253.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
23,rsmax2,fast.iamb,x2,0.1,tabu,bic,2253.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
24,rsmax2,gs,mi,0.01,hc,bde,1672.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
25,rsmax2,gs,mi,0.01,hc,bic,1672.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
26,rsmax2,gs,mi,0.01,tabu,bde,1692.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
27,rsmax2,gs,mi,0.01,tabu,bic,1692.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-55652.08606073857,-56181.40491782228
28,rsmax2,gs,mi,0.05,hc,bde,1765.0,28.0,64.0,0.6636718749999999,0.65,0.4615384615384615,0.97265625,-58873.42940991003,-59267.91920151583
29,rsmax2,gs,mi,0.05,hc,bic,1765.0,28.0,64.0,0.6636718749999999,0.65,0.4615384615384615,0.97265625,-58873.42940991003,-59267.91920151583
30,rsmax2,gs,mi,0.05,tabu,bde,1785.0,28.0,64.0,0.6636718749999999,0.65,0.4615384615384615,0.97265625,-58873.42940991003,-59267.91920151583
31,rsmax2,gs,mi,0.05,tabu,bic,1785.0,28.0,64.0,0.6636718749999999,0.65,0.4615384615384615,0.97265625,-58873.42940991003,-59267.91920151583
32,rsmax2,gs,mi,0.1,hc,bde,1675.0,32.0,68.0,0.6156250000000001,0.6,0.33333333333333337,0.96875,-61776.1408792153,-62035.45187421842
33,rsmax2,gs,mi,0.1,hc,bic,1675.0,32.0,68.0,0.6156250000000001,0.6,0.33333333333333337,0.96875,-61776.1408792153,-62035.45187421842
