,Algorithm,Test,Sig. level,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,fast.iamb,mi,0.01,340.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-1118.049422131642,-1435.3180941798569
1,fast.iamb,mi,0.05,324.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-1118.049422131642,-1435.3180941798569
2,fast.iamb,mi,0.1,324.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-1118.049422131642,-1435.3180941798569
3,fast.iamb,x2,0.01,340.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-1118.049422131642,-1435.3180941798569
4,fast.iamb,x2,0.05,340.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-1118.049422131642,-1435.3180941798569
5,fast.iamb,x2,0.1,324.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-1118.049422131642,-1435.3180941798569
6,fci,G2,0.01,157.0,18.0,36.0,0.5277777777777778,0.5,0.0,0.9444444444444444,-2421.3028275868332,-2406.0920441350904
7,fci,G2,0.05,159.0,22.0,36.0,0.027777777777777776,0.4934640522875817,0.0,0.9320987654320988,-2491.911647717425,-2450.5929325488746
8,fci,G2,0.1,159.0,22.0,36.0,0.027777777777777776,0.4934640522875817,0.0,0.9320987654320988,-2491.911647717425,-2450.5929325488746
9,iamb.fdr,mi,0.01,663.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-1118.049422131642,-1435.3180941798569
10,iamb.fdr,mi,0.05,663.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-1118.049422131642,-1435.3180941798569
11,iamb.fdr,mi,0.1,663.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-1118.049422131642,-1435.3180941798569
