,Algorithm,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,hc,bde,84.0,2.0,0.0,0.875,0.9827586206896552,0.8571428571428571,0.96875,-647.6445629595931,-1809.067143992129
1,hc,bic,70.0,4.0,8.0,0.6822916666666666,0.8160919540229885,0.6666666666666666,0.9375,-672.9640069112838,-766.6505425260494
2,tabu,bde,207.0,2.0,0.0,0.875,0.9827586206896552,0.8571428571428571,0.96875,-647.6445629595931,-1809.067143992129
3,tabu,bic,204.0,4.0,8.0,0.6822916666666666,0.8160919540229885,0.6666666666666666,0.9375,-672.9640069112838,-766.6505425260494
