,Algorithm,Restrict,Test,Sig. level,Maximize,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,rsmax2,fast.iamb,mi,0.01,hc,bde,2485.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
1,rsmax2,fast.iamb,mi,0.01,hc,bic,2485.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
2,rsmax2,fast.iamb,mi,0.01,tabu,bde,2505.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
3,rsmax2,fast.iamb,mi,0.01,tabu,bic,2505.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
4,rsmax2,fast.iamb,mi,0.05,hc,bde,2559.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
5,rsmax2,fast.iamb,mi,0.05,hc,bic,2559.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
6,rsmax2,fast.iamb,mi,0.05,tabu,bde,2579.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
7,rsmax2,fast.iamb,mi,0.05,tabu,bic,2579.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
8,rsmax2,fast.iamb,mi,0.1,hc,bde,2573.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
9,rsmax2,fast.iamb,mi,0.1,hc,bic,2573.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
10,rsmax2,fast.iamb,mi,0.1,tabu,bde,2593.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
11,rsmax2,fast.iamb,mi,0.1,tabu,bic,2593.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
12,rsmax2,fast.iamb,x2,0.01,hc,bde,2677.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
13,rsmax2,fast.iamb,x2,0.01,hc,bic,2677.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
14,rsmax2,fast.iamb,x2,0.01,tabu,bde,2697.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
15,rsmax2,fast.iamb,x2,0.01,tabu,bic,2697.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
16,rsmax2,fast.iamb,x2,0.05,hc,bde,2717.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
17,rsmax2,fast.iamb,x2,0.05,hc,bic,2717.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
18,rsmax2,fast.iamb,x2,0.05,tabu,bde,2737.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375601.5768169079,-1376407.7027600699
