,Algorithm,Duration,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,PC,1.736088753,6,12,0.447916667,0.649425287,0.4,0.90625,-618.607555,-670.4780544
1,GES,0.763779402,2,6,0.875,0.982758621,0.857142857,0.96875,-415.3539385,-690.6389086
2,CCDr,1.141898394,4,6,0.697916667,0.666666667,0.5,0.9375,-867.2668313,-901.2021682
3,GS,0.295270205,4,6,0.8,0.965517241,0.75,0.9375,-403.6829472,-1574.831584
4,MMPC,0.292040586,10,24,0.6875,0.913793103,0.545454545,0.84375,-304.2639833,-1937.413793
5,IAMB,0.302997112,4,6,0.8,0.965517241,0.75,0.9375,-403.6829472,-1574.831584
6,Fast-IAMB,0.300550461,4,6,0.8,0.965517241,0.75,0.9375,-403.6829472,-1574.831584
7,Inter-IAMB,0.306761742,4,6,0.8,0.965517241,0.75,0.9375,-403.6829472,-1574.831584
