,Algorithm,Test,Sig. level,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,fast.iamb,mi,0.01,1084.0,40.0,164.0,0.46171875000000007,0.691869918699187,0.4444444444444445,0.9609375,-3970.34401390637,-4618.133141601927
1,fast.iamb,mi,0.05,1024.0,40.0,164.0,0.46171875000000007,0.691869918699187,0.4444444444444445,0.9609375,-3970.34401390637,-4618.133141601927
2,fast.iamb,mi,0.1,1024.0,40.0,164.0,0.46171875000000007,0.691869918699187,0.4444444444444445,0.9609375,-3970.34401390637,-4618.133141601927
3,fast.iamb,x2,0.01,1084.0,42.0,132.0,0.3808268229166667,0.6308943089430894,0.34374999999999994,0.958984375,-4385.181597615956,-4875.251714648912
4,fast.iamb,x2,0.05,1054.0,42.0,132.0,0.3808268229166667,0.6308943089430894,0.34374999999999994,0.958984375,-4385.181597615956,-4875.251714648912
5,fast.iamb,x2,0.1,1024.0,42.0,132.0,0.3808268229166667,0.6308943089430894,0.34374999999999994,0.958984375,-4385.181597615956,-4875.251714648912
6,iamb.fdr,mi,0.01,2108.0,40.0,164.0,0.46171875000000007,0.691869918699187,0.4444444444444445,0.9609375,-3970.34401390637,-4618.133141601927
7,iamb.fdr,mi,0.05,2139.0,40.0,164.0,0.46171875000000007,0.691869918699187,0.4444444444444445,0.9609375,-3970.34401390637,-4618.133141601927
8,iamb.fdr,mi,0.1,2139.0,40.0,164.0,0.46171875000000007,0.691869918699187,0.4444444444444445,0.9609375,-3970.34401390637,-4618.133141601927
9,iamb.fdr,x2,0.01,2387.0,40.0,157.0,0.44970703125,0.6798780487804877,0.42857142857142855,0.9609375,-4014.6501414484287,-4619.559637543188
10,iamb.fdr,x2,0.05,2387.0,40.0,157.0,0.44970703125,0.6798780487804877,0.42857142857142855,0.9609375,-4014.6501414484287,-4619.559637543188
11,iamb.fdr,x2,0.1,2387.0,40.0,157.0,0.44970703125,0.6798780487804877,0.42857142857142855,0.9609375,-4014.6501414484287,-4619.559637543188
12,gs,mi,0.01,1479.0,42.0,138.0,0.3944411057692308,0.6428861788617886,0.3636363636363637,0.958984375,-4389.132660320107,-4874.545875571519
13,gs,mi,0.05,1475.0,42.0,114.0,0.33784722222222224,0.5949186991869918,0.2758620689655173,0.958984375,-4959.211761550639,-5263.816474789038
14,gs,mi,0.1,1405.0,48.0,95.0,0.16270926339285716,0.531910569105691,0.1111111111111111,0.953125,-6674.59879369287,-6727.799622589615
15,gs,x2,0.01,1534.0,40.0,151.0,0.43769531249999993,0.6678861788617886,0.4117647058823529,0.9609375,-4142.519236944187,-4704.6542175559825
16,gs,x2,0.05,1488.0,44.0,126.0,0.34798177083333337,0.6178861788617886,0.3125,0.95703125,-4729.535410665241,-5091.094629562134
17,gs,x2,0.1,1507.0,42.0,113.0,0.32236328124999997,0.5829268292682928,0.24999999999999994,0.958984375,-5460.872119904578,-5738.443215960409
18,iamb,mi,0.01,2162.0,40.0,164.0,0.46171875000000007,0.691869918699187,0.4444444444444445,0.9609375,-3970.34401390637,-4618.133141601927
19,iamb,mi,0.05,2192.0,40.0,164.0,0.46171875000000007,0.691869918699187,0.4444444444444445,0.9609375,-3970.34401390637,-4618.133141601927
20,iamb,mi,0.1,2252.0,40.0,164.0,0.46171875000000007,0.691869918699187,0.4444444444444445,0.9609375,-3970.34401390637,-4618.133141601927
21,iamb,x2,0.01,2252.0,40.0,151.0,0.43769531249999993,0.6678861788617886,0.4117647058823529,0.9609375,-4096.85781077323,-4658.602506521865
22,iamb,x2,0.05,2252.0,40.0,151.0,0.43769531249999993,0.6678861788617886,0.4117647058823529,0.9609375,-4096.85781077323,-4658.602506521865
23,iamb,x2,0.1,2252.0,40.0,151.0,0.43769531249999993,0.6678861788617886,0.4117647058823529,0.9609375,-4096.85781077323,-4658.602506521865
24,inter.iamb,mi,0.01,2162.0,40.0,164.0,0.46171875000000007,0.691869918699187,0.4444444444444445,0.9609375,-3970.34401390637,-4618.133141601927
25,inter.iamb,mi,0.05,2192.0,40.0,164.0,0.46171875000000007,0.691869918699187,0.4444444444444445,0.9609375,-3970.34401390637,-4618.133141601927
26,inter.iamb,mi,0.1,2252.0,40.0,164.0,0.46171875000000007,0.691869918699187,0.4444444444444445,0.9609375,-3970.34401390637,-4618.133141601927
27,inter.iamb,x2,0.01,2284.0,40.0,157.0,0.44970703125,0.6798780487804877,0.42857142857142855,0.9609375,-4014.6501414484287,-4619.559637543188
28,inter.iamb,x2,0.05,2284.0,40.0,157.0,0.44970703125,0.6798780487804877,0.42857142857142855,0.9609375,-4014.6501414484287,-4619.559637543188
29,inter.iamb,x2,0.1,2284.0,40.0,157.0,0.44970703125,0.6798780487804877,0.42857142857142855,0.9609375,-4014.6501414484287,-4619.559637543188
30,pc.stable,mi,0.01,1110.0,40.0,157.0,0.44970703125,0.6798780487804877,0.42857142857142855,0.9609375,-4014.6501414484287,-4619.559637543188
31,pc.stable,mi,0.05,1173.0,40.0,157.0,0.44970703125,0.6798780487804877,0.42857142857142855,0.9609375,-4014.6501414484287,-4619.559637543188
32,pc.stable,mi,0.1,1241.0,40.0,157.0,0.44970703125,0.6798780487804877,0.42857142857142855,0.9609375,-4014.6501414484287,-4619.559637543188
33,pc.stable,x2,0.01,1119.0,40.0,157.0,0.44970703125,0.6798780487804877,0.42857142857142855,0.9609375,-4014.6501414484287,-4619.559637543188
34,pc.stable,x2,0.05,1165.0,40.0,157.0,0.44970703125,0.6798780487804877,0.42857142857142855,0.9609375,-4014.6501414484287,-4619.559637543188
35,pc.stable,x2,0.1,1226.0,40.0,157.0,0.44970703125,0.6798780487804877,0.42857142857142855,0.9609375,-4014.6501414484287,-4619.559637543188
36,fci,G2,0.01,1108.0,40.0,88.0,0.51953125,0.5,0.0,0.9609375,-7775.654244108012,-7755.284927566795
37,fci,G2,0.05,1118.0,40.0,88.0,0.51953125,0.5,0.0,0.9609375,-7775.654244108012,-7755.284927566795
38,fci,G2,0.1,1130.0,40.0,88.0,0.51953125,0.5,0.0,0.9609375,-7775.654244108012,-7755.284927566795
