,Algorithm,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,hc,bde,1550.0,30.0,50.0,0.5999023437500001,0.756910569105691,0.5833333333333334,0.970703125,-2831.952881206524,-11022.134774684668
1,hc,bic,1085.0,29.0,77.0,0.5944438733552632,0.6854674796747967,0.5084745762711864,0.9716796875,-2941.188782116414,-3211.7421081747793
2,tabu,bde,2157.0,30.0,50.0,0.5999023437500001,0.756910569105691,0.5833333333333334,0.970703125,-2831.952881206524,-11022.134774684668
3,tabu,bic,1696.0,29.0,77.0,0.5944438733552632,0.6854674796747967,0.5084745762711864,0.9716796875,-2941.188782116414,-3211.7421081747793
