"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X.mmhc.","X184","X.mi.","X0.1","X.bic."
"X.1.1.",0,0,0,0,1,0,0,0,"mmhc",184,"mi",0.1,"bic"
"X.1.2.",0,0,0,0,0,1,0,0,"mmhc",184,"mi",0.1,"bic"
"X.2.1.",0,0,0,0,0,0,1,0,"mmhc",184,"mi",0.1,"bic"
"X.2.2.",0,0,0,0,0,0,0,1,"mmhc",184,"mi",0.1,"bic"
"X..1.1..",0,0,0,0,0,0,0,0,"mmhc",184,"mi",0.1,"bic"
"X..1.2..",0,0,0,0,0,0,0,0,"mmhc",184,"mi",0.1,"bic"
"X..2.1..",0,0,0,0,0,0,0,0,"mmhc",184,"mi",0.1,"bic"
"X..2.2..",0,0,0,0,0,0,0,0,"mmhc",184,"mi",0.1,"bic"
