,Algorithm,Test,Sig. level,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,fast.iamb,mi,0.01,556.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
1,fast.iamb,mi,0.05,558.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
2,fast.iamb,mi,0.1,568.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
3,fast.iamb,x2,0.01,556.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
4,fast.iamb,x2,0.05,558.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
5,fast.iamb,x2,0.1,564.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
6,iamb.fdr,mi,0.01,600.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
7,iamb.fdr,mi,0.05,600.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
8,iamb.fdr,mi,0.1,600.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
9,iamb.fdr,x2,0.01,600.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
10,iamb.fdr,x2,0.05,600.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
11,iamb.fdr,x2,0.1,600.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
12,gs,mi,0.01,384.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
13,gs,mi,0.05,384.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
14,gs,mi,0.1,396.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
15,gs,x2,0.01,384.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
16,gs,x2,0.05,384.0,12.0,36.0,0.5911458333333334,0.8169398907103824,0.5714285714285715,0.953125,-106686.35989480755,-107424.49888338638
