,Algorithm,Test,Sig. level,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,h2pc,mi,0.01,bde,95.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
1,h2pc,mi,0.01,bic,95.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
2,h2pc,mi,0.05,bde,95.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
3,h2pc,mi,0.05,bic,95.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
4,h2pc,mi,0.1,bde,95.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
5,h2pc,mi,0.1,bic,95.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
6,h2pc,x2,0.01,bde,94.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
7,h2pc,x2,0.01,bic,94.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
8,h2pc,x2,0.05,bde,95.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
9,h2pc,x2,0.05,bic,95.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
10,h2pc,x2,0.1,bde,95.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
11,h2pc,x2,0.1,bic,95.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
12,mmhc,mi,0.01,bde,160.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
13,mmhc,mi,0.01,bic,160.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
14,mmhc,mi,0.05,bde,160.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
15,mmhc,mi,0.05,bic,160.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
16,mmhc,mi,0.1,bde,160.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
17,mmhc,mi,0.1,bic,160.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
18,mmhc,x2,0.01,bde,156.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
19,mmhc,x2,0.01,bic,156.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
20,mmhc,x2,0.05,bde,160.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
21,mmhc,x2,0.05,bic,160.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
22,mmhc,x2,0.1,bde,160.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
23,mmhc,x2,0.1,bic,160.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-1433.261144866959,-1515.9024188103915
