,Algorithm,Test,Sig. level,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,h2pc,mi,0.01,bde,566.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
1,h2pc,mi,0.01,bic,566.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
2,h2pc,mi,0.05,bde,677.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
3,h2pc,mi,0.05,bic,677.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
4,h2pc,mi,0.1,bde,690.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
5,h2pc,mi,0.1,bic,690.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
6,h2pc,x2,0.01,bde,531.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
7,h2pc,x2,0.01,bic,531.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
8,h2pc,x2,0.05,bde,560.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
9,h2pc,x2,0.05,bic,560.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
10,h2pc,x2,0.1,bde,611.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
11,h2pc,x2,0.1,bic,611.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
12,mmhc,mi,0.01,bde,676.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
13,mmhc,mi,0.01,bic,676.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
14,mmhc,mi,0.05,bde,691.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
15,mmhc,mi,0.05,bic,691.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
16,mmhc,mi,0.1,bde,727.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
17,mmhc,mi,0.1,bic,727.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
18,mmhc,x2,0.01,bde,677.0,15.0,37.0,0.5892795138888889,0.6707627118644068,0.48275862068965514,0.94140625,-7073.480216660779,-7302.690195567
19,mmhc,x2,0.01,bic,672.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
20,mmhc,x2,0.05,bde,685.0,15.0,37.0,0.5892795138888889,0.6707627118644068,0.48275862068965514,0.94140625,-7073.480216660779,-7302.690195567
21,mmhc,x2,0.05,bic,680.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
22,mmhc,x2,0.1,bde,722.0,15.0,37.0,0.5892795138888889,0.6707627118644068,0.48275862068965514,0.94140625,-7073.480216660779,-7302.690195567
23,mmhc,x2,0.1,bic,717.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-7112.219882261068,-7309.470587420059
