,Algorithm,Test,Sig. level,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,h2pc,mi,0.01,bde,94.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
1,h2pc,mi,0.01,bic,94.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
2,h2pc,mi,0.05,bde,94.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
3,h2pc,mi,0.05,bic,94.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
4,h2pc,mi,0.1,bde,122.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
5,h2pc,mi,0.1,bic,122.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
6,h2pc,x2,0.01,bde,94.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
7,h2pc,x2,0.01,bic,94.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
8,h2pc,x2,0.05,bde,96.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
9,h2pc,x2,0.05,bic,96.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
10,h2pc,x2,0.1,bde,122.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
11,h2pc,x2,0.1,bic,122.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
12,mmhc,mi,0.01,bde,152.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
13,mmhc,mi,0.01,bic,152.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
14,mmhc,mi,0.05,bde,152.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
15,mmhc,mi,0.05,bic,152.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
16,mmhc,mi,0.1,bde,176.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
17,mmhc,mi,0.1,bic,176.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
18,mmhc,x2,0.01,bde,152.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
19,mmhc,x2,0.01,bic,152.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
20,mmhc,x2,0.05,bde,160.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
21,mmhc,x2,0.05,bic,160.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
22,mmhc,x2,0.1,bde,176.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
23,mmhc,x2,0.1,bic,176.0,2.0,4.0,0.8489583333333333,0.8333333333333333,0.8,0.96875,-6863.176183822562,-6979.834602794623
