,Algorithm,Test,Sig. level,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,h2pc,mi,0.01,bde,5258.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375302.5948858403,-1376108.8277488912
1,h2pc,mi,0.01,bic,5258.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375302.5948858403,-1376108.8277488912
2,h2pc,mi,0.05,bde,5290.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375302.5948858403,-1376108.8277488912
3,h2pc,mi,0.05,bic,5290.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375302.5948858403,-1376108.8277488912
4,h2pc,mi,0.1,bde,5339.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375302.5948858403,-1376108.8277488912
5,h2pc,mi,0.1,bic,5339.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375302.5948858403,-1376108.8277488912
6,h2pc,x2,0.01,bde,5007.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375302.5948858403,-1376108.8277488912
7,h2pc,x2,0.01,bic,5007.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375302.5948858403,-1376108.8277488912
8,h2pc,x2,0.05,bde,5046.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375302.5948858403,-1376108.8277488912
9,h2pc,x2,0.05,bic,5046.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375302.5948858403,-1376108.8277488912
10,h2pc,x2,0.1,bde,5090.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375302.5948858403,-1376108.8277488912
11,h2pc,x2,0.1,bic,5090.0,24.0,60.0,0.71171875,0.7,0.5714285714285715,0.9765625,-1375302.5948858403,-1376108.8277488912
12,mmhc,mi,0.01,bde,2776.0,12.0,48.0,0.855859375,0.85,0.8235294117647058,0.98828125,-1309779.1626736547,-1315903.986259453
13,mmhc,mi,0.01,bic,2776.0,12.0,48.0,0.855859375,0.85,0.8235294117647058,0.98828125,-1309779.1626736547,-1315903.986259453
14,mmhc,mi,0.05,bde,2860.0,12.0,48.0,0.855859375,0.85,0.8235294117647058,0.98828125,-1309779.1626736547,-1315903.986259453
15,mmhc,mi,0.05,bic,2860.0,12.0,48.0,0.855859375,0.85,0.8235294117647058,0.98828125,-1309779.1626736547,-1315903.986259453
16,mmhc,mi,0.1,bde,2972.0,12.0,48.0,0.855859375,0.85,0.8235294117647058,0.98828125,-1309779.1626736547,-1315903.986259453
17,mmhc,mi,0.1,bic,2972.0,12.0,48.0,0.855859375,0.85,0.8235294117647058,0.98828125,-1309779.1626736547,-1315903.986259453
18,mmhc,x2,0.01,bde,2772.0,12.0,48.0,0.855859375,0.85,0.8235294117647058,0.98828125,-1309779.1626736547,-1315903.986259453
19,mmhc,x2,0.01,bic,2772.0,12.0,48.0,0.855859375,0.85,0.8235294117647058,0.98828125,-1309779.1626736547,-1315903.986259453
20,mmhc,x2,0.05,bde,2868.0,12.0,48.0,0.855859375,0.85,0.8235294117647058,0.98828125,-1309779.1626736547,-1315903.986259453
21,mmhc,x2,0.05,bic,2868.0,12.0,48.0,0.855859375,0.85,0.8235294117647058,0.98828125,-1309779.1626736547,-1315903.986259453
22,mmhc,x2,0.1,bde,2968.0,12.0,48.0,0.855859375,0.85,0.8235294117647058,0.98828125,-1309779.1626736547,-1315903.986259453
23,mmhc,x2,0.1,bic,2968.0,12.0,48.0,0.855859375,0.85,0.8235294117647058,0.98828125,-1309779.1626736547,-1315903.986259453
