"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X.h2pc.","X96","X.hpc.","X.mi.","X0.01","X.hc.","X.bic."
"X.1.1.",0,0,0,0,1,0,0,0,"h2pc",96,"hpc","mi",0.01,"hc","bic"
"X.1.2.",0,0,0,0,0,1,0,0,"h2pc",96,"hpc","mi",0.01,"hc","bic"
"X.2.1.",0,0,0,0,0,0,1,0,"h2pc",96,"hpc","mi",0.01,"hc","bic"
"X.2.2.",0,0,0,0,0,0,0,1,"h2pc",96,"hpc","mi",0.01,"hc","bic"
"X..1.1..",0,0,0,0,0,0,0,0,"h2pc",96,"hpc","mi",0.01,"hc","bic"
"X..1.2..",0,0,0,0,0,0,0,0,"h2pc",96,"hpc","mi",0.01,"hc","bic"
"X..2.1..",0,0,0,0,0,0,0,0,"h2pc",96,"hpc","mi",0.01,"hc","bic"
"X..2.2..",0,0,0,0,0,0,0,0,"h2pc",96,"hpc","mi",0.01,"hc","bic"
