"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X.rsmax2.","X141","X.iamb.fdr.","X.x2.","X0.05","X.hc.","X.bic."
"X.1.1.",0,0,0,0,1,0,0,0,"rsmax2",141,"iamb.fdr","x2",0.05,"hc","bic"
"X.1.2.",0,0,0,0,0,1,0,0,"rsmax2",141,"iamb.fdr","x2",0.05,"hc","bic"
"X.2.1.",0,0,0,0,0,0,1,0,"rsmax2",141,"iamb.fdr","x2",0.05,"hc","bic"
"X.2.2.",0,0,0,0,0,0,0,1,"rsmax2",141,"iamb.fdr","x2",0.05,"hc","bic"
"X..1.1..",0,0,0,0,0,0,0,0,"rsmax2",141,"iamb.fdr","x2",0.05,"hc","bic"
"X..1.2..",0,0,0,0,0,0,0,0,"rsmax2",141,"iamb.fdr","x2",0.05,"hc","bic"
"X..2.1..",0,0,0,0,0,0,0,0,"rsmax2",141,"iamb.fdr","x2",0.05,"hc","bic"
"X..2.2..",0,0,0,0,0,0,0,0,"rsmax2",141,"iamb.fdr","x2",0.05,"hc","bic"
