,Algorithm,Test,Sig. level,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,fast.iamb,mi,0.01,754.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
1,fast.iamb,mi,0.05,763.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
2,fast.iamb,mi,0.1,768.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
3,fast.iamb,x2,0.01,754.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
4,fast.iamb,x2,0.05,763.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
5,fast.iamb,x2,0.1,768.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
6,iamb.fdr,mi,0.01,918.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
7,iamb.fdr,mi,0.05,918.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
8,iamb.fdr,mi,0.1,918.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
9,iamb.fdr,x2,0.01,918.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
10,iamb.fdr,x2,0.05,918.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
11,iamb.fdr,x2,0.1,918.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
12,gs,mi,0.01,512.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
13,gs,mi,0.05,519.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
14,gs,mi,0.1,523.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
15,gs,x2,0.01,512.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
16,gs,x2,0.05,519.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
17,gs,x2,0.1,523.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
18,iamb,mi,0.01,876.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
19,iamb,mi,0.05,876.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
20,iamb,mi,0.1,876.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
21,iamb,x2,0.01,876.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
22,iamb,x2,0.05,876.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
23,iamb,x2,0.1,876.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
24,inter.iamb,mi,0.01,882.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
25,inter.iamb,mi,0.05,882.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
26,inter.iamb,mi,0.1,882.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
27,inter.iamb,x2,0.01,882.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
28,inter.iamb,x2,0.05,882.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
29,inter.iamb,x2,0.1,882.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
30,pc.stable,mi,0.01,385.0,15.0,42.0,0.6283068783068783,0.818627450980392,0.6153846153846153,0.9537037037037037,-429450.8745073702,-434969.0710972652
31,pc.stable,mi,0.05,407.0,15.0,42.0,0.6283068783068783,0.818627450980392,0.6153846153846153,0.9537037037037037,-429450.8745073702,-434969.0710972652
32,pc.stable,mi,0.1,429.0,15.0,42.0,0.6283068783068783,0.818627450980392,0.6153846153846153,0.9537037037037037,-429450.8745073702,-434969.0710972652
33,pc.stable,x2,0.01,385.0,15.0,42.0,0.6283068783068783,0.818627450980392,0.6153846153846153,0.9537037037037037,-429450.8745073702,-434969.0710972652
34,pc.stable,x2,0.05,407.0,15.0,42.0,0.6283068783068783,0.818627450980392,0.6153846153846153,0.9537037037037037,-429450.8745073702,-434969.0710972652
35,pc.stable,x2,0.1,429.0,15.0,42.0,0.6283068783068783,0.818627450980392,0.6153846153846153,0.9537037037037037,-429450.8745073702,-434969.0710972652
36,fci,G2,0.01,511.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
37,fci,G2,0.05,523.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
38,fci,G2,0.1,542.0,18.0,66.0,0.5138888888888888,0.7352941176470588,0.5,0.9444444444444444,-419600.3276701209,-420515.5229213149
