,Algorithm,Restrict,Test,Sig. level,Maximize,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,rsmax2,fast.iamb,mi,0.01,hc,bde,390.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
1,rsmax2,fast.iamb,mi,0.01,hc,bic,390.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
2,rsmax2,fast.iamb,mi,0.01,tabu,bde,410.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
3,rsmax2,fast.iamb,mi,0.01,tabu,bic,410.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
4,rsmax2,fast.iamb,mi,0.05,hc,bde,358.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
5,rsmax2,fast.iamb,mi,0.05,hc,bic,358.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
6,rsmax2,fast.iamb,mi,0.05,tabu,bde,378.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
7,rsmax2,fast.iamb,mi,0.05,tabu,bic,378.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
8,rsmax2,fast.iamb,mi,0.1,hc,bde,342.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
9,rsmax2,fast.iamb,mi,0.1,hc,bic,342.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
10,rsmax2,fast.iamb,mi,0.1,tabu,bde,362.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
11,rsmax2,fast.iamb,mi,0.1,tabu,bic,362.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
12,rsmax2,fast.iamb,x2,0.01,hc,bde,390.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
13,rsmax2,fast.iamb,x2,0.01,hc,bic,390.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
14,rsmax2,fast.iamb,x2,0.01,tabu,bde,410.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
15,rsmax2,fast.iamb,x2,0.01,tabu,bic,410.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
16,rsmax2,fast.iamb,x2,0.05,hc,bde,358.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
17,rsmax2,fast.iamb,x2,0.05,hc,bic,358.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
18,rsmax2,fast.iamb,x2,0.05,tabu,bde,378.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
19,rsmax2,fast.iamb,x2,0.05,tabu,bic,378.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
20,rsmax2,fast.iamb,x2,0.1,hc,bde,342.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
21,rsmax2,fast.iamb,x2,0.1,hc,bic,342.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
22,rsmax2,fast.iamb,x2,0.1,tabu,bde,362.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
23,rsmax2,fast.iamb,x2,0.1,tabu,bic,362.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3357.3542914497084,-3541.654097015509
24,rsmax2,gs,mi,0.01,hc,bde,477.0,12.0,24.0,0.6851851851851852,0.6666666666666666,0.5,0.9629629629629629,-3554.9570702635865,-3675.48669751091
25,rsmax2,gs,mi,0.01,hc,bic,477.0,12.0,24.0,0.6851851851851852,0.6666666666666666,0.5,0.9629629629629629,-3554.9570702635865,-3675.48669751091
