,Algorithm,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,hc,bde,360.0,4.0,0.0,0.875,0.9918032786885246,0.8571428571428571,0.984375,-55697.158972398305,-60101.642730693326
1,hc,bic,300.0,0.0,0.0,1.0,1.0,1.0,1.0,-55712.144979131255,-56831.040545189484
2,tabu,bde,631.0,4.0,0.0,0.875,0.9918032786885246,0.8571428571428571,0.984375,-55697.158972398305,-60101.642730693326
3,tabu,bic,571.0,0.0,0.0,1.0,1.0,1.0,1.0,-55712.144979131255,-56831.040545189484
