,Algorithm,Duration,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,PC,2.151055336,6,18,0.598958333,0.798850575,0.571428571,0.90625,-26853.61502,-27055.92321
1,GES,0.860083818,6,5,0.598958333,0.798850575,0.571428571,0.90625,-49792.96148,-50545.20703
2,CCDr,1.429080725,4,6,0.697916667,0.666666667,0.5,0.9375,-80585.39512,-80640.56148
3,GS,0.631577253,4,6,0.8,0.965517241,0.75,0.9375,-27947.23637,-30329.30698
4,MMPC,0.624480724,10,24,0.6875,0.913793103,0.545454545,0.84375,-14893.52404,-18241.24552
5,IAMB,0.635138273,4,6,0.8,0.965517241,0.75,0.9375,-27947.23637,-30329.30698
6,Fast-IAMB,0.635461569,4,6,0.8,0.965517241,0.75,0.9375,-27947.23637,-30329.30698
7,Inter-IAMB,0.634604216,4,6,0.8,0.965517241,0.75,0.9375,-27947.23637,-30329.30698
