,Algorithm,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,hc,bde,510.0,18.0,8.0,0.6309495192307691,0.8245762711864407,0.608695652173913,0.9296875,-56011.33813468947,-123233.93290924278
1,hc,bic,390.0,18.0,60.0,0.5473090277777778,0.733050847457627,0.5263157894736842,0.9296875,-58684.96631442827,-60065.34024746433
2,tabu,bde,773.0,18.0,8.0,0.6309495192307691,0.8245762711864407,0.608695652173913,0.9296875,-56011.33813468947,-123233.93290924278
3,tabu,bic,684.0,18.0,60.0,0.5473090277777778,0.733050847457627,0.5263157894736842,0.9296875,-58684.96631442827,-60065.34024746433
