"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X.h2pc.","X99","X.hpc.","X.mi.","X0.05","X.hc.","X.bic."
"X.1.1.",0,0,0,0,1,0,0,0,"h2pc",99,"hpc","mi",0.05,"hc","bic"
"X.1.2.",0,0,0,0,0,1,0,0,"h2pc",99,"hpc","mi",0.05,"hc","bic"
"X.2.1.",0,0,0,0,0,0,1,0,"h2pc",99,"hpc","mi",0.05,"hc","bic"
"X.2.2.",0,0,0,0,0,0,0,1,"h2pc",99,"hpc","mi",0.05,"hc","bic"
"X..1.1..",0,0,0,0,0,0,0,0,"h2pc",99,"hpc","mi",0.05,"hc","bic"
"X..1.2..",0,0,0,0,0,0,0,0,"h2pc",99,"hpc","mi",0.05,"hc","bic"
"X..2.1..",0,0,0,0,0,0,0,0,"h2pc",99,"hpc","mi",0.05,"hc","bic"
"X..2.2..",0,0,0,0,0,0,0,0,"h2pc",99,"hpc","mi",0.05,"hc","bic"
