,Algorithm,Restrict,Test,Sig. level,Maximize,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,rsmax2,fast.iamb,mi,0.01,hc,bde,342.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-1537.07960963886,-1656.912170073496
1,rsmax2,fast.iamb,mi,0.01,hc,bic,341.0,13.0,31.0,0.700390625,0.675,0.5185185185185185,0.94921875,-1545.4725801974298,-1652.5569530626433
2,rsmax2,fast.iamb,mi,0.01,tabu,bde,362.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-1537.07960963886,-1656.912170073496
3,rsmax2,fast.iamb,mi,0.01,tabu,bic,361.0,13.0,31.0,0.700390625,0.675,0.5185185185185185,0.94921875,-1545.4725801974298,-1652.5569530626433
4,rsmax2,fast.iamb,mi,0.05,hc,bde,300.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-1537.07960963886,-1656.912170073496
5,rsmax2,fast.iamb,mi,0.05,hc,bic,299.0,13.0,31.0,0.700390625,0.675,0.5185185185185185,0.94921875,-1545.4725801974298,-1652.5569530626433
6,rsmax2,fast.iamb,mi,0.05,tabu,bde,320.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-1537.07960963886,-1656.912170073496
7,rsmax2,fast.iamb,mi,0.05,tabu,bic,319.0,13.0,31.0,0.700390625,0.675,0.5185185185185185,0.94921875,-1545.4725801974298,-1652.5569530626433
8,rsmax2,fast.iamb,mi,0.1,hc,bde,272.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-1537.07960963886,-1656.912170073496
9,rsmax2,fast.iamb,mi,0.1,hc,bic,271.0,13.0,31.0,0.700390625,0.675,0.5185185185185185,0.94921875,-1545.4725801974298,-1652.5569530626433
10,rsmax2,fast.iamb,mi,0.1,tabu,bde,292.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-1537.07960963886,-1656.912170073496
11,rsmax2,fast.iamb,mi,0.1,tabu,bic,291.0,13.0,31.0,0.700390625,0.675,0.5185185185185185,0.94921875,-1545.4725801974298,-1652.5569530626433
12,rsmax2,fast.iamb,x2,0.01,hc,bde,333.0,16.0,34.0,0.6312500000000001,0.6,0.33333333333333337,0.9375,-1605.4232484548218,-1669.939949270647
13,rsmax2,fast.iamb,x2,0.01,hc,bic,333.0,16.0,34.0,0.6312500000000001,0.6,0.33333333333333337,0.9375,-1605.4232484548218,-1669.939949270647
14,rsmax2,fast.iamb,x2,0.01,tabu,bde,353.0,16.0,34.0,0.6312500000000001,0.6,0.33333333333333337,0.9375,-1605.4232484548218,-1669.939949270647
15,rsmax2,fast.iamb,x2,0.01,tabu,bic,353.0,16.0,34.0,0.6312500000000001,0.6,0.33333333333333337,0.9375,-1605.4232484548218,-1669.939949270647
16,rsmax2,fast.iamb,x2,0.05,hc,bde,291.0,16.0,34.0,0.6312500000000001,0.6,0.33333333333333337,0.9375,-1605.4232484548218,-1669.939949270647
17,rsmax2,fast.iamb,x2,0.05,hc,bic,291.0,16.0,34.0,0.6312500000000001,0.6,0.33333333333333337,0.9375,-1605.4232484548218,-1669.939949270647
18,rsmax2,fast.iamb,x2,0.05,tabu,bde,311.0,16.0,34.0,0.6312500000000001,0.6,0.33333333333333337,0.9375,-1605.4232484548218,-1669.939949270647
19,rsmax2,fast.iamb,x2,0.05,tabu,bic,311.0,16.0,34.0,0.6312500000000001,0.6,0.33333333333333337,0.9375,-1605.4232484548218,-1669.939949270647
20,rsmax2,fast.iamb,x2,0.1,hc,bde,263.0,16.0,34.0,0.6312500000000001,0.6,0.33333333333333337,0.9375,-1605.4232484548218,-1669.939949270647
21,rsmax2,fast.iamb,x2,0.1,hc,bic,263.0,16.0,34.0,0.6312500000000001,0.6,0.33333333333333337,0.9375,-1605.4232484548218,-1669.939949270647
22,rsmax2,fast.iamb,x2,0.1,tabu,bde,283.0,16.0,34.0,0.6312500000000001,0.6,0.33333333333333337,0.9375,-1605.4232484548218,-1669.939949270647
23,rsmax2,fast.iamb,x2,0.1,tabu,bic,283.0,16.0,34.0,0.6312500000000001,0.6,0.33333333333333337,0.9375,-1605.4232484548218,-1669.939949270647
24,rsmax2,gs,mi,0.01,hc,bde,379.0,13.0,31.0,0.700390625,0.675,0.5185185185185185,0.94921875,-1556.3487893612278,-1658.682268580162
25,rsmax2,gs,mi,0.01,hc,bic,378.0,14.0,32.0,0.6773437499999999,0.65,0.4615384615384615,0.9453125,-1564.7417599197977,-1654.327051569309
26,rsmax2,gs,mi,0.01,tabu,bde,399.0,13.0,31.0,0.700390625,0.675,0.5185185185185185,0.94921875,-1556.3487893612278,-1658.682268580162
27,rsmax2,gs,mi,0.01,tabu,bic,398.0,14.0,32.0,0.6773437499999999,0.65,0.4615384615384615,0.9453125,-1564.7417599197977,-1654.327051569309
28,rsmax2,gs,mi,0.05,hc,bde,360.0,15.0,33.0,0.654296875,0.625,0.4,0.94140625,-1580.4594003448951,-1657.2752292102737
29,rsmax2,gs,mi,0.05,hc,bic,360.0,15.0,33.0,0.654296875,0.625,0.4,0.94140625,-1580.4594003448951,-1657.2752292102737
30,rsmax2,gs,mi,0.05,tabu,bde,380.0,15.0,33.0,0.654296875,0.625,0.4,0.94140625,-1580.4594003448951,-1657.2752292102737
31,rsmax2,gs,mi,0.05,tabu,bic,380.0,15.0,33.0,0.654296875,0.625,0.4,0.94140625,-1580.4594003448951,-1657.2752292102737
32,rsmax2,gs,mi,0.1,hc,bde,348.0,16.0,34.0,0.6312500000000001,0.6,0.33333333333333337,0.9375,-1605.4232484548218,-1669.939949270647
33,rsmax2,gs,mi,0.1,hc,bic,348.0,16.0,34.0,0.6312500000000001,0.6,0.33333333333333337,0.9375,-1605.4232484548218,-1669.939949270647
34,rsmax2,gs,mi,0.1,tabu,bde,368.0,16.0,34.0,0.6312500000000001,0.6,0.33333333333333337,0.9375,-1605.4232484548218,-1669.939949270647
35,rsmax2,gs,mi,0.1,tabu,bic,368.0,16.0,34.0,0.6312500000000001,0.6,0.33333333333333337,0.9375,-1605.4232484548218,-1669.939949270647
36,rsmax2,gs,x2,0.01,hc,bde,385.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-1537.07960963886,-1656.912170073496
37,rsmax2,gs,x2,0.01,hc,bic,384.0,13.0,31.0,0.700390625,0.675,0.5185185185185185,0.94921875,-1545.4725801974298,-1652.5569530626433
