"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X.3.1.","X.3.2.","X.4.1.","X.4.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X..3.1..","X..3.2..","X..4.1..","X..4.2..","X.fast.iamb.","X601","X.mi.","X0.05"
"X.1.1.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"fast.iamb",601,"mi",0.05
"X.1.2.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"fast.iamb",601,"mi",0.05
"X.2.1.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"fast.iamb",601,"mi",0.05
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"fast.iamb",601,"mi",0.05
"X.3.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"fast.iamb",601,"mi",0.05
"X.3.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"fast.iamb",601,"mi",0.05
"X.4.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"fast.iamb",601,"mi",0.05
"X.4.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"fast.iamb",601,"mi",0.05
"X..1.1..",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fast.iamb",601,"mi",0.05
"X..1.2..",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fast.iamb",601,"mi",0.05
"X..2.1..",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"fast.iamb",601,"mi",0.05
"X..2.2..",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"fast.iamb",601,"mi",0.05
"X..3.1..",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"fast.iamb",601,"mi",0.05
"X..3.2..",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"fast.iamb",601,"mi",0.05
"X..4.1..",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"fast.iamb",601,"mi",0.05
"X..4.2..",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"fast.iamb",601,"mi",0.05
