,Algorithm,Restrict,Test,Sig. level,Maximize,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,rsmax2,fast.iamb,mi,0.01,hc,bde,672.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137641.79783240255,-137976.18991764958
1,rsmax2,fast.iamb,mi,0.01,hc,bic,672.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137641.79783240255,-137976.18991764958
2,rsmax2,fast.iamb,mi,0.01,tabu,bde,692.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137641.79783240255,-137976.18991764958
3,rsmax2,fast.iamb,mi,0.01,tabu,bic,692.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137641.79783240255,-137976.18991764958
4,rsmax2,fast.iamb,mi,0.05,hc,bde,678.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137641.79783240255,-137976.18991764958
5,rsmax2,fast.iamb,mi,0.05,hc,bic,678.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137641.79783240255,-137976.18991764958
6,rsmax2,fast.iamb,mi,0.05,tabu,bde,698.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137641.79783240255,-137976.18991764958
7,rsmax2,fast.iamb,mi,0.05,tabu,bic,698.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137641.79783240255,-137976.18991764958
8,rsmax2,fast.iamb,mi,0.1,hc,bde,639.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137641.79783240255,-137976.18991764958
9,rsmax2,fast.iamb,mi,0.1,hc,bic,639.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137641.79783240255,-137976.18991764958
10,rsmax2,fast.iamb,mi,0.1,tabu,bde,659.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137641.79783240255,-137976.18991764958
11,rsmax2,fast.iamb,mi,0.1,tabu,bic,659.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137641.79783240255,-137976.18991764958
12,rsmax2,fast.iamb,x2,0.01,hc,bde,651.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137641.79783240255,-137976.18991764958
13,rsmax2,fast.iamb,x2,0.01,hc,bic,651.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137641.79783240255,-137976.18991764958
14,rsmax2,fast.iamb,x2,0.01,tabu,bde,671.0,12.0,30.0,0.7234375,0.7,0.5714285714285715,0.953125,-137641.79783240255,-137976.18991764958
