,Algorithm,Restrict,Test,Sig. level,Maximize,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,rsmax2,fast.iamb,mi,0.01,hc,bde,770.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
1,rsmax2,fast.iamb,mi,0.01,hc,bic,770.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
2,rsmax2,fast.iamb,mi,0.01,tabu,bde,790.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
3,rsmax2,fast.iamb,mi,0.01,tabu,bic,790.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
4,rsmax2,fast.iamb,mi,0.05,hc,bde,773.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
5,rsmax2,fast.iamb,mi,0.05,hc,bic,773.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
6,rsmax2,fast.iamb,mi,0.05,tabu,bde,793.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
7,rsmax2,fast.iamb,mi,0.05,tabu,bic,793.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
8,rsmax2,fast.iamb,mi,0.1,hc,bde,782.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
9,rsmax2,fast.iamb,mi,0.1,hc,bic,782.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
10,rsmax2,fast.iamb,mi,0.1,tabu,bde,802.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
11,rsmax2,fast.iamb,mi,0.1,tabu,bic,802.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
12,rsmax2,fast.iamb,x2,0.01,hc,bde,770.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
13,rsmax2,fast.iamb,x2,0.01,hc,bic,770.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
14,rsmax2,fast.iamb,x2,0.01,tabu,bde,790.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
15,rsmax2,fast.iamb,x2,0.01,tabu,bic,790.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
16,rsmax2,fast.iamb,x2,0.05,hc,bde,773.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-778236.8682394775,-778686.9708270322
