,Algorithm,Test,Sig. level,Score,No. of calls,SHD,SID,PR AUC,ROC AUC,F1,Accuracy,BDeu,BIC
0,h2pc,mi,0.01,bde,515.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
1,h2pc,mi,0.01,bic,515.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
2,h2pc,mi,0.05,bde,554.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
3,h2pc,mi,0.05,bic,554.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
4,h2pc,mi,0.1,bde,564.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
5,h2pc,mi,0.1,bic,564.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
6,h2pc,x2,0.01,bde,537.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
7,h2pc,x2,0.01,bic,537.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
8,h2pc,x2,0.05,bde,545.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
9,h2pc,x2,0.05,bic,545.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
10,h2pc,x2,0.1,bde,555.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
11,h2pc,x2,0.1,bic,555.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
12,mmhc,mi,0.01,bde,762.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
13,mmhc,mi,0.01,bic,762.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
14,mmhc,mi,0.05,bde,802.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
15,mmhc,mi,0.05,bic,802.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
16,mmhc,mi,0.1,bde,826.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
17,mmhc,mi,0.1,bic,826.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
18,mmhc,x2,0.01,bde,758.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
19,mmhc,x2,0.01,bic,758.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
20,mmhc,x2,0.05,bde,782.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
21,mmhc,x2,0.05,bic,782.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
22,mmhc,x2,0.1,bde,806.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
23,mmhc,x2,0.1,bic,806.0,9.0,21.0,0.7638888888888888,0.75,0.6666666666666666,0.9722222222222222,-3295.2269064796346,-3474.1787986477952
